Company,Date,Title,Abstract,sentiment,sentiment_category,sentiment_abstract,sentiment_category_abstract
Cisco Systems,2014-02-12,the number cisco left out,"cisco just reported a tough quarter, the latest sign of an incumbent struggling to adapt to a world of cloud computing, mobility, sensors, and lots of cheap competition.",0.0772,Neutral,-0.5106,Negative
Cisco Systems,2013-12-09,h.p. tying more big-business systems together,the silicon valley giant is embracing the notion that different types of business computing systems are merging into one tightly integrated computing engine.,0.0,Neutral,0.0,Neutral
Cisco Systems,2013-08-21,shifting tech scene unsettles big players,"hewlett-packard, cisco and other companies that once dominated the industry are struggling as users turn to cloud computing services and mobile phones.",0.0,Neutral,-0.4215,Negative
Cisco Systems,2013-05-23,"used computer, $116,000 or best offer","apple-1 computers have sold for hundreds of thousands of dollars in recent auctions, a run-up reflecting the company's mystique.",0.6369,Very Positive,0.0,Neutral
Cisco Systems,2013-04-10,arming cable against the open internet,networking and content management providers are working with cable companies and other broadcasters to deal with competition from the internet by controlling the mobile video experience and offering extras.,0.0,Neutral,0.0,Neutral
Cisco Systems,2013-02-03,"once blackberry focused, a campus widens its view","the university of waterloo, a world-class engineering school in canada, is a feeder campus for big-name global tech companies like blackberry, a neighbor and waterloo offshoot.",0.3818,Positive,0.3612,Positive
Cisco Systems,2012-09-29,meg whitman's toughest campaign: retooling h.p.,the former ebay chief and gubernatorial candidate has found her act iii at hewlett-packard. but the challenge of re-energizing the company for a new information era is daunting.,-0.0772,Neutral,0.1154,Neutral
Cisco Systems,2012-05-23,"as computing changes, hewlett-packard struggles to follow","finding it hard to keep up with radical shifts to new modes of computing, the technology company reported sharply lower net income and confirmed a plan to pare its work force.",-0.3612,Negative,-0.3818,Negative
Cisco Systems,2012-04-10,i.b.m. aims to sharply simplify corporate data center technology,"i.b.m. is introducing bundles of server hardware and software packaged in simplified systems, with setup and maintenance automated by intelligent software.",0.0,Neutral,0.4588,Positive
Cisco Systems,2012-03-04,the bright side of being hacked,one benefit of an attack by a group like anonymous: it can gird a company against more serious online espionage.,0.0516,Neutral,0.204,Positive
Cisco Systems,2011-12-19,the coming war for the social workplace,"cloud computing may be about more than just more efficient and supple software, or mobile systems that allow work from anywhere. to some of the leading companies in the field, it's about a whole new social style of management.",-0.5994,Negative,0.6115,Very Positive
Cisco Systems,2011-10-20,rim faces a naming problem,"rim's new name for its operating system, bbx, is similar to another company's software's name, bbx.",-0.4019,Negative,0.0,Neutral
Cisco Systems,2011-08-23,sell big or die fast,"these days, large technology companies -- particularly those in the hypercompetitive smartphone and tablet industries -- are cutting their losses with increasing speed.",-0.5994,Negative,-0.4939,Negative
Cisco Systems,2011-06-03,at&t races to expand the network,much of the $18 billion at&t will spend this year will be diverted into upgrades and expansions to meet the surging demands on the 3g network.,0.3182,Positive,0.0,Neutral
Cisco Systems,2011-04-17,wreckage at the intersection of corporate and consumer markets,"before it bought (and then decided to close) the maker of flip cameras, cisco must have seen the cautionary tales of failures, but the allure was too strong.",0.0,Neutral,0.5346,Positive
Cisco Systems,2011-02-25,"china telecom giant, thwarted in u.s. deals, seeks inquiry to clear name",the chinese telecommunications group said that its american expansion has been undermined by false allegations that it had ties to chinese authorities.,0.3612,Positive,-0.3612,Negative
Cisco Systems,2010-11-28,"google grows, and works to retain nimble minds","the pace at a big company is far slower than at a start-up, a difference that matters to the entrepreneurial spirit.",0.0,Neutral,0.2023,Positive
Cisco Systems,2010-10-04,"cisco executive is named chief of skype, as new owners build a leadership team",tony bates will assume the top job at skype as its new owners continue to put their stamp on the fast-growing company after buying it from ebay.,0.0,Neutral,0.2023,Positive
Cisco Systems,2010-07-22,the softer side of dell,"when it comes to datacenter wares, a new dell has appeared with a growing arsenal of software products.",0.0,Neutral,0.1779,Neutral
Cisco Systems,2010-04-19,stranded travelers turn to videoconferencing,audio and video conferencing businesses are reporting increases in demand since the volcanic disruptions.,0.0,Neutral,-0.4404,Negative
Cisco Systems,2010-02-10,report warns silicon valley could lose its edge,"unemployment in the area is higher than national levels and the worst since 2005, when tech companies were recovering from the dot-com implosion.",-0.4767,Negative,-0.7906,Very Negative
Cisco Systems,2010-01-13,microsoft and hewlett-packard make a really big deal,microsoft and h.p. have broadened their already broad partnership to sell more technology together.,0.0,Neutral,0.0,Neutral
Coca-Cola,2016-06-19,"airbnb vows to fight racism, but its users can't sue to prompt fairness","airbnb tells users they must agree to waive the right to sue, or to join in any class-action lawsuit or class-action arbitration, as a condition of using the service.",-0.5187,Negative,0.4215,Positive
Coca-Cola,2015-10-05,"delegating, jack dorsey will lead twitter and square",mr. dorsey has been aggressively making changes as interim chief since dick costolo stepped down on july 1.,0.0,Neutral,-0.6808,Very Negative
Coca-Cola,2014-08-30,"in e-sports, video gamers draw real crowds and big money",professional video gaming is becoming a worldwide spectator sport offering big prizes to competitors and helping the game industry gain even greater cultural and economic clout.,0.0,Neutral,0.8779,Very Positive
Coca-Cola,2013-10-24,samsung electronics fined for fake online comments,"a taiwanese trade agency has punished samsung electronics for paying people to post fake online comments that mocked its competitor, htc, the struggling handset maker. the south korean manufacturer will have to pay a fine of about $340,000.",-0.4767,Negative,-0.8689,Very Negative
Coca-Cola,2012-11-30,study may offer insight into coca-cola breach,a 2010 case study of a security breach at an unnamed fortune 500 company appears to offers new details of a breach at coca-cola.,0.0,Neutral,0.34,Positive
Coca-Cola,2010-12-15,twitter courts businesses to advertise,"twitter has opened its doors to businesses that want to advertise, as the company focuses on making money after building a huge user base.",0.0,Neutral,0.3818,Positive
Coca-Cola,2008-02-13,yahoo acquires ad technology company,"yahoo said it has paid $160 million to acquire maven networks, an internet company that sells a system for managing advertisements in online videos.",0.0,Neutral,0.0,Neutral
Coca-Cola,2007-11-07,facebook is marketing your brand preferences (with your permission),the social networking site now sells ads that display people's profile photos next to commercial messages that are shown to their friends about items they purchased or registered an opinion about.,0.0,Neutral,0.4767,Positive
Coca-Cola,2006-09-05,"online game, made in u.s., seizes the globe","world of warcraft, with almost seven million paying subscribers, has become the first truly global video-game hit since pac-man in the early 80's.",0.0,Neutral,0.4404,Positive
Coca-Cola,2006-07-10,"shopping by phone, on the move",the september issue of lucky magazine will let readers send text messages from their mobile phones to buy merchandise from 18 marketers and retailers.,0.0,Neutral,0.4215,Positive
Dow Inc.,2016-01-24,looking for signs that apple's runaway growth is waning,"with iphone sales projected to decelerate, investors will be scouring apple's earnings report on tuesday for signs of how fast the company's downshift is happening.",0.3818,Positive,0.0,Neutral
Dow Inc.,2014-01-28,jason calacanis shoots for human moments in news feeds,a rush of new entrants to new media involves people.,0.0,Neutral,0.0,Neutral
Dow Inc.,2010-06-09,at&t is said to have exposed ipad owners' e-mail addresses,"a hacking group obtained the e-mail addresses of 114,000 owners of 3g ipads using a security hole on at&t's web site, gawker reported.",-0.0772,Neutral,0.34,Positive
Dow Inc.,2007-06-06,restitution deal made,a former sales chief at ca inc. has agreed to pay $29.7 million in restitution after pleading guilty last year to criminal charges.,0.0,Neutral,-0.765,Very Negative
Goldman Sachs,2016-11-11,10-second videos from your sunglasses. thank snapchat.,"snap inc., formerly known as snapchat, is hoping its wearable technology can succeed where google glass failed.",0.3612,Positive,0.4019,Positive
Goldman Sachs,2016-05-20,start-ups once showered with cash now have to work for it,"instead of venture capitalists begging to invest in start-ups, entrepreneurs are begging for cash, and potential investors are making demands.",0.0,Neutral,0.0,Neutral
Goldman Sachs,2015-10-05,jack dorsey's dual c.e.o. role raises questions for square,"mr. dorsey becomes chief executive of twitter just as square, which he also heads, is making preparations for an initial public offering.",0.0,Neutral,0.0,Neutral
Goldman Sachs,2015-03-16,uber's chief financial officer to leave company,"brent callinicos, the chief financial officer of uber, plans to leave the ride-sharing company, in what will be one of the highest-level departures yet for the six-year-old start-up.",-0.0516,Neutral,-0.1189,Neutral
Goldman Sachs,2014-10-30,"twitter appoints product chief, replacing one named 6 months ago",twitter said it had picked kevin weil to speed its sluggish efforts to make its social network easier and more compelling for new and old users.,0.0,Neutral,0.3167,Positive
Goldman Sachs,2014-04-12,"a talk with simon head, author of 'mindless: smarter machines are making dumber humans'",mr. head offers his thoughts on the social landscape of the technology-dominated economy.,0.128,Neutral,0.0,Neutral
Goldman Sachs,2013-02-12,apple chief hints at shareholder rewards to come,"investors have been pressing apple to distribute more of its vast cash hoard to its shareholders. timothy d. cook, apple's chief executive, said on tuesday that the company was discussing the problem, suggesting that some kind of payout is likely soon.",0.4767,Positive,-0.4019,Negative
Goldman Sachs,2012-08-02,"sony's quarterly profit sinks, hit by weak demand","pummeled by the slow global economy, exchange rate shifts and the euro zone crisis, sony reported a 77 percent slide in operating profit, far below expectations for the quarter.",-0.128,Neutral,-0.296,Negative
Goldman Sachs,2012-02-13,"apple shares close above $500, breaking more records","on monday, apple reached new heights with its shares closing at $502.60, up $9.18, or 1.86 percent. it was the first time apple's share price had passed $500.",0.296,Positive,0.5859,Positive
Goldman Sachs,2011-10-27,facebook-led consortium plans to remake big computing,"facebook plans to announce creation of a nonprofit foundation to run the open compute project, an effort to encourage collaboration among technology giants on building low-cost computing centers.",0.0,Neutral,0.6597,Very Positive
Goldman Sachs,2011-01-11,hot social networking site cools as facebook grows,"no longer trying to compete with facebook, myspace recently revamped its site to give users more ways to consume music, videos and celebrity gossip.",0.0,Neutral,-0.4404,Negative
Goldman Sachs,2010-04-12,reports that palm is to be sold lift its stock,two people close to the company say it is seeking a buyer after its slick new smartphone failed to make a splash.,0.0,Neutral,-0.5106,Negative
Goldman Sachs,2009-08-09,an online market flourishes in china,"millions of people in china -- recent graduates, shopkeepers and retirees -- are using taobao to sell things like clothes, phones and toys.",0.0,Neutral,0.3612,Positive
Goldman Sachs,2007-12-29,wireless tower operator sues chief of rival,the american tower corporation sued the head of a rival claiming he had impersonated its chief by sending a negative article about it via e-mail to two large investors.,0.0,Neutral,-0.5719,Negative
Goldman Sachs,2007-10-19,google's strong quarter widens gap with rivals,"the search giant's surging third quarter profits showed that it was growing at twice the speed of the online advertising market, which itself is booming.",0.5106,Positive,0.5574,Positive
Goldman Sachs,2007-07-25,oh those analysts,"how close were the analyst's predictions on apple iphone sales? oh, say double the reality.",0.0,Neutral,0.0,Neutral
Goldman Sachs,2007-05-24,"microsoft asks, why buy yahoo?","microsoft said wednesday that it did not need to buy yahoo to gain scale in online advertising, because it had ""all the pieces"" to build a successful ad business.",0.0,Neutral,0.802,Very Positive
Goldman Sachs,2007-05-05,rumors fly on microsoft and yahoo,microsoft and yahoo are discussing a business partnership in their effort to compete with google.,0.0,Neutral,0.0,Neutral
Goldman Sachs,2006-11-22,google's shares climb above $500,"google's shares gained $14.60, or 3 percent, today to close at $509.65, passing the $500 mark for the first time.",0.296,Positive,0.5859,Positive
Goldman Sachs,2006-08-11,"betonsports, after indictment, folds its hand and shifts focus to asia","betonsports told 800 employees in costa rica and antigua, where the virtual casino has its operations, that they would be losing their jobs.",0.4939,Positive,-0.3818,Negative
Goldman Sachs,2006-05-26,google reaches agreement to have its software installed on new dell computers,"the arrangement means that google's search toolbar will appear on the screens of new dell systems, and that dell users will be directed to a web page branded by the two companies.",0.5267,Positive,0.0,Neutral
The Home Depot,2016-08-10,think amazon's drone delivery idea is a gimmick? think again,"amazon doesn't reveal much, but a little sleuthing suggests that drones may be central to the online retailer's long-term strategy.",0.0,Neutral,0.09,Neutral
The Home Depot,2015-03-27,slack gets hacked as start-up technologies become targets,"communications start-up slack gets hacked, just days after twitch discloses a similar incident.",-0.4019,Negative,-0.4019,Negative
The Home Depot,2014-11-06,home depot says hackers also stole email addresses,"hackers took 53 million email addresses in addition to the payment card details of 56 million of its customers during this year's data breach, the retailer disclosed.",0.0,Neutral,0.0,Neutral
The Home Depot,2014-09-08,twitter begins testing a 'buy' button for instant purchases by its users,"the feature will allow users to buy products with a couple of clicks, and it comes after facebook began testing a similar button in july.",0.0,Neutral,0.2263,Positive
The Home Depot,2014-02-15,a list of favorites from a man who knows his apps,"we all have that friend who knows which new song you should buy, or the new movie you should watch, but what about that friend who knows about apps? meet michael galpert, the app know-it-all.",0.4215,Positive,0.7506,Very Positive
The Home Depot,2013-06-05,start-up to connect home appliances,"most makers of light switches, thermostats and other household appliances don't have the expertise to build the internet into their devices, nor can they afford adding a lot technology that significantly balloons the price of their products.",0.0,Neutral,0.0,Neutral
The Home Depot,2012-09-05,smartphone? presto! 2-way radio,this new variation on electronic communication is quietly winning over millions of mobile device users.,0.0,Neutral,0.5267,Positive
The Home Depot,2012-01-18,"before tearing out a wall, check your phone","with home improvement apps for mobile devices, a user can get cost estimates and how-to videos, as well as a 3-d picture of the final results before work even begins.",0.0,Neutral,0.6249,Very Positive
The Home Depot,2009-12-16,times square goes a tweeting,social networking comes to the times square new year's eve celebrations. so do more energy-efficient led lights.,0.0,Neutral,0.0,Neutral
The Home Depot,2008-11-19,black friday calls for a strategy session,"with retailers desperate to increase sales and shoppers looking for even steeper discounts, black friday 2008 is hoped by both parties to be, in the words of nigel tufnel of spinal tap, ""none more black.""",0.0,Neutral,0.6486,Very Positive
