Date,all_stocks_Open,CAT_Open,CVX_Open,IBM_Open,JNJ_Open,JPM_Open,all_stocks_High,CAT_High,CVX_High,IBM_High,JNJ_High,JPM_High,all_stocks_Low,CAT_Low,CVX_Low,IBM_Low,JNJ_Low,JPM_Low,all_stocks_Close,CAT_Close,CVX_Close,IBM_Close,JNJ_Close,JPM_Close,all_stocks_Volume,CAT_Volume,CVX_Volume,IBM_Volume,JNJ_Volume,JPM_Volume
2015-02-02,162.31,79.74,108.11,154.94,101.83,56.05,166.57,81.35,108.81,155.58,102.93,56.68,160.89,78.81,98.88,149.52,99.38,54.27,164.42,80.84,106.06,154.66,100.83,55.47,3276309.0,13243088.4,12606381.6,5950433.0,9290025.8,21444148.4
2015-02-09,165.17,81.22,107.7,154.75,101.4,55.91,167.68,84.87,111.5,158.71,102.56,58.73,163.84,81.15,107.39,154.75,99.1,55.87,164.84,84.67,110.43,155.75,99.78,57.82,2183805.0,7923476.8,9206911.2,4157136.0,9045782.6,16925368.8
2015-02-16,165.4,85.0,110.52,156.74,100.19,58.42,166.62,85.49,112.84,160.8,100.79,60.22,163.47,82.24,108.09,155.08,97.15,57.84,165.94,85.13,112.78,160.4,99.62,59.67,1746972.75,5640042.5,7452033.0,3776813.5,14360303.0,17279908.0
2015-02-23,165.94,84.86,112.31,159.75,99.39,59.36,168.87,85.81,112.93,164.49,100.94,60.14,165.09,82.2,107.24,159.73,99.11,58.35,168.81,83.49,107.86,162.91,100.18,59.35,1910858.6,4887191.2,7614660.4,3364937.8,8699467.6,14607292.8
2015-03-02,168.27,83.77,107.89,162.49,100.25,60.25,170.5,85.36,108.78,164.99,103.41,61.92,168.07,82.24,104.93,159.77,100.0,60.08,170.5,83.0,105.9,160.48,103.22,61.77,1949584.2,4022412.6,6031627.6,5228971.2,8697510.4,16992735.6
2015-03-09,169.57,82.71,105.88,160.27,103.1,61.65,169.6,83.79,106.22,161.75,103.21,62.87,164.01,79.55,103.16,158.06,99.76,60.8,166.37,80.81,103.95,160.77,100.66,61.5,1815552.2,6194640.2,6512501.2,4078748.8,7623230.2,15397196.0
2015-03-16,164.81,80.02,103.79,159.6,99.99,60.76,166.27,80.76,104.55,160.23,101.07,61.92,161.66,78.19,100.66,153.4,98.22,59.96,166.21,79.97,103.13,157.08,101.06,61.85,2113964.2,4789463.8,8029132.6,4938392.4,8348040.4,15844372.6
2015-03-23,165.52,79.35,102.3,156.2,100.11,61.34,167.13,81.92,107.69,165.35,103.35,62.1,162.05,78.25,102.1,155.37,99.13,60.76,166.13,81.09,105.92,164.63,102.98,61.14,2820577.6,7458196.0,9374344.8,5573174.6,8717362.6,14484237.0
2015-03-30,165.58,81.15,105.92,164.79,102.83,60.97,167.65,81.52,107.21,164.89,103.23,61.46,161.21,78.76,103.67,158.91,99.56,58.87,166.05,81.37,106.9,162.67,101.55,60.96,2017844.8,4795702.8,7225376.8,4357408.0,7743146.4,14706290.6
2015-04-06,165.41,80.51,105.62,161.08,100.97,60.72,166.0,82.0,107.86,162.8,101.49,60.94,161.4,79.39,104.08,158.39,98.04,59.65,165.48,81.49,106.92,162.04,99.16,60.47,2160566.75,4336797.0,6612295.25,4023354.75,8797712.25,15042567.0
2015-04-13,165.4,81.22,106.97,161.67,99.55,61.15,167.7,82.8,109.09,164.0,102.14,62.27,165.08,79.92,106.18,160.72,99.43,60.83,165.84,82.14,106.5,162.38,100.55,62.07,1855385.0,4828025.4,6302123.4,2864080.4,8173650.6,12061264.0
2015-04-20,165.32,82.55,107.7,162.42,101.05,62.96,167.34,85.73,111.71,166.64,101.46,64.48,161.13,81.54,107.26,160.03,99.11,62.49,164.51,84.6,110.29,166.16,100.21,63.24,2206327.2,6092680.6,6713701.0,4655725.2,8527370.0,22424926.0
2015-04-27,165.65,84.66,110.05,166.07,100.66,63.33,165.7,87.5,110.74,171.91,101.6,63.6,157.81,83.09,109.03,162.89,99.91,62.03,157.98,85.33,109.7,170.73,100.58,62.34,3279224.6,8563976.4,5622324.4,5800200.4,6865850.2,12612993.6
2015-05-04,157.69,85.42,110.05,170.83,100.45,62.49,159.85,88.28,112.2,176.3,100.95,64.87,156.01,84.5,107.99,170.02,98.77,61.77,159.02,87.3,108.32,173.97,100.35,64.72,2875434.2,5164590.8,7135404.4,4547595.6,7673969.8,14672635.0
2015-05-11,158.86,87.57,109.24,173.51,100.13,64.51,161.4,89.44,109.93,174.23,101.67,65.65,156.55,85.89,106.69,168.86,98.66,63.25,159.9,88.77,107.36,171.12,101.03,65.45,1999607.4,4688313.8,6232899.6,3086509.0,7293591.2,16284488.6
2015-05-18,158.71,88.19,107.44,170.55,100.88,65.31,163.77,89.59,109.3,174.41,104.34,66.54,158.01,87.26,106.58,168.84,100.28,64.76,162.87,88.29,106.65,173.06,103.42,66.42,2117475.0,3350739.0,6465578.2,2549242.4,6937391.2,11631008.8
2015-05-25,163.07,87.89,106.05,172.97,103.66,66.77,163.59,89.62,106.31,174.44,104.48,67.19,160.66,86.5,104.76,171.93,101.33,66.01,160.98,88.63,104.89,172.22,101.35,66.47,2069843.5,5289416.0,6428839.25,2492245.75,6990805.0,12240104.75
2015-06-01,160.98,88.13,104.22,172.11,101.23,66.2,161.32,88.82,104.44,172.48,101.7,66.66,158.57,84.7,102.38,169.03,99.72,65.31,158.98,85.53,102.63,170.18,100.04,66.08,2292439.2,4445684.8,6210679.8,3085476.0,8034548.0,12908481.4
2015-06-08,158.28,85.21,102.65,169.66,99.92,65.83,160.5,87.06,103.38,171.56,100.47,67.84,156.3,84.91,99.95,165.02,97.96,65.58,156.59,86.15,100.42,165.34,97.96,66.89,2143340.0,3345673.8,6281374.2,2928291.6,7271468.0,14986899.8
2015-06-15,156.85,86.46,100.7,165.34,98.44,66.95,160.36,88.76,102.58,170.44,99.8,68.68,155.39,86.35,99.13,163.37,97.01,66.47,155.87,87.13,99.29,166.26,97.49,67.99,1937497.4,3301737.8,6596379.0,3770240.2,7919062.2,14073865.4
2015-06-22,155.49,86.79,99.2,166.33,97.5,67.77,160.7,88.32,101.17,168.72,100.84,69.29,155.37,86.24,98.81,165.91,97.1,67.62,159.68,88.27,100.29,167.73,100.09,68.96,2166511.8,3446348.0,8218177.8,3770695.8,7546097.2,15777478.6
2015-06-29,160.41,88.42,99.96,168.38,100.1,69.35,160.87,88.81,100.68,169.97,100.36,69.82,153.92,85.1,96.6,162.89,97.62,67.16,153.95,85.3,96.69,162.97,97.68,67.2,2562756.6,3665261.8,7598540.8,4383856.8,8014875.6,16093956.8
